,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-04-12-2020-04-19,UCDGiCfCZIV5phsoGiPwIcyQ,NMre6IAAAiU,"[LIVE] Coronavirus Pandemic: Real Time Counter, World Map, News",2020-04-17T12:57:56Z,168283938,253359,24833,0.0,0,Roylab Stats,844000,KR,https://www.youtube.com/watch?v=NMre6IAAAiU
1,1,2020-04-12-2020-04-19,UC3XTzVzaHQEd30rQbuvCtTQ,6s4Bx7mzNkM,Coronavirus IV: Last Week Tonight with John Oliver (HBO),2020-04-13T06:45:02Z,8423149,197396,6993,29057.0,1238,LastWeekTonight,8340000,Unknown,https://www.youtube.com/watch?v=6s4Bx7mzNkM
2,2,2020-04-12-2020-04-19,UCMSsLqxqvZsNXi0Z-VjN89A,LV8wWhjTKRU,How Coronavirus Kills Some People But Not Others - I&#39;m a Lung Doctor (MEDICAL TRUTH) | COVID-19,2020-04-15T18:44:26Z,2507109,52753,2156,7992.0,1361,Doctor Mike Hansen,385000,US,https://www.youtube.com/watch?v=LV8wWhjTKRU
3,3,2020-04-12-2020-04-19,UCBi2mrWuNuyYy4gbM6fU18Q,SZ-Z9i9Wzec,"US death toll surpasses 20,000 amid coronavirus pandemic",2020-04-12T02:01:03Z,1557436,9223,1909,7785.0,345,ABC News,9670000,US,https://www.youtube.com/watch?v=SZ-Z9i9Wzec
4,4,2020-04-12-2020-04-19,UCrp_UI8XtuYfpiqluWLD7Lw,229Fi8fOtho,Coronavirus: Why Germany has been so successful in dealing with COVID-19,2020-04-13T19:56:15Z,1545765,38109,2423,14133.0,548,CNBC Television,863000,US,https://www.youtube.com/watch?v=229Fi8fOtho
5,5,2020-04-12-2020-04-19,UCp0hYYBW6IMayGgR-WeoCvQ,5oEcxMfwJnw,"Bill Gates on Finding a Vaccine for COVID-19, the Economy, and Returning to 'Normal Life'",2020-04-13T13:00:09Z,1250831,19139,30848,N/A,1109,TheEllenShow,37600000,US,https://www.youtube.com/watch?v=5oEcxMfwJnw
6,6,2020-04-12-2020-04-19,UChLtXXpo4Ge1ReTEboVvTDg,_-P-rUOPz_s,Coronavirus outbreak: United States surpasses Italy for most COVID-19 deaths,2020-04-12T02:45:04Z,1197991,4236,602,2271,316,Global News,1980000,CA,https://www.youtube.com/watch?v=_-P-rUOPz_s
7,7,2020-04-12-2020-04-19,UCLXo7UDZvByw2ixzpQCufnA,421fmflQX0E,What the coronavirus looks like up close,2020-04-14T14:00:00Z,1196312,24372,821,1257,313,Vox,8610000,US,https://www.youtube.com/watch?v=421fmflQX0E
8,8,2020-04-12-2020-04-19,UCAuUUnT6oDeKwE6v1NGQxug,ldKtWp7jlHI,How the coronavirus pandemic is changing the world | Fareed Zakaria,2020-04-13T17:32:00Z,590867,7752,836,1520,1983,TED,17900000,US,https://www.youtube.com/watch?v=ldKtWp7jlHI
9,9,2020-04-12-2020-04-19,UCiMg06DjcUk5FRiM3g5sqoQ,V9p10jSLd9s,Answering 20 Questions about COVID-19,2020-04-14T21:14:44Z,301599,1446,248,0,3519,Centers for Disease Control and Prevention (CDC),476000,US,https://www.youtube.com/watch?v=V9p10jSLd9s
