,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-04-05-2020-04-12,UCp0hYYBW6IMayGgR-WeoCvQ,RpZlS8Rmng4,P!nk's Candid Conversation About Contracting COVID-19,2020-04-09T13:00:30Z,3521098,63472,2964,N/A,839,TheEllenShow,37600000,US,https://www.youtube.com/watch?v=RpZlS8Rmng4
1,1,2020-04-05-2020-04-12,UCCj956IF62FbT7Gouszaj9w,2klmuggOElE,&#39;We will meet again&#39; - The Queen&#39;s Coronavirus broadcast | BBC,2020-04-05T19:09:26Z,3428549,71665,5327,13968,270,BBC,9350000,GB,https://www.youtube.com/watch?v=2klmuggOElE
2,2,2020-04-05-2020-04-12,UCLXo7UDZvByw2ixzpQCufnA,BE-cA4UK07c,The big lesson from South Korea&#39;s coronavirus response,2020-04-10T14:00:02Z,3102572,85189,2243,10435,484,Vox,8610000,US,https://www.youtube.com/watch?v=BE-cA4UK07c
3,3,2020-04-05-2020-04-12,UCUVwzlL8j71f0dz9jKru75g,tCPq2IVM5Mg,Asi ataca el #coronavirus al cuerpo humano,2020-04-09T16:03:03Z,2827587,21639,1923,1658,355,RevistaMSP,15500,PR,https://www.youtube.com/watch?v=tCPq2IVM5Mg
4,4,2020-04-05-2020-04-12,UCZVmadzXQgMRg1kxmwKrGDA,8zDwQpiHvcw,!Tratamientos del Coronavirus en 5 minutos! - (Animacion),2020-04-08T18:30:00Z,1777554,11487,1815,1749,334,Juan Cano MD,48500,CO,https://www.youtube.com/watch?v=8zDwQpiHvcw
5,5,2020-04-05-2020-04-12,UC0QHWhjbe5fGJEPz3sVb6nw,WhHfjsOl8Tc,100+ Doctors Tell You The TRUTH About Battling Coronavirus,2020-04-08T21:00:11Z,1694306,130269,1224,10252,703,Doctor Mike,6120000,US,https://www.youtube.com/watch?v=WhHfjsOl8Tc
6,6,2020-04-05-2020-04-12,UCAuUUnT6oDeKwE6v1NGQxug,yrxYhv2O3wU,What coronavirus means for the global economy | Ray Dalio,2020-04-09T16:16:13Z,1657612,27306,1074,3466,3161,TED,17900000,US,https://www.youtube.com/watch?v=yrxYhv2O3wU
7,7,2020-04-05-2020-04-12,UC0NaWwWghJD37rMK2AYDidg,8OMUdYoIJhI,Another Very Special COVID-19 Message From Walter | JEFF DUNHAM,2020-04-10T23:33:04Z,1696195,50486,1058,2466,250,Jeff Dunham,2730000,US,https://www.youtube.com/watch?v=8OMUdYoIJhI
8,8,2020-04-05-2020-04-12,UC85VW73bQLEjs_taFKP7TwQ,PSnSo9kYlH4,3D Animation: SARS-CoV-2 virus transmission leading to COVID-19,2020-04-08T21:00:13Z,1590827,13972,852,799,92,Nucleus Medical Media,2730000,US,https://www.youtube.com/watch?v=PSnSo9kYlH4
9,9,2020-04-05-2020-04-12,UCnsvJeZO4RigQ898WdDNoBw,bgUIKkBKGH4,"?Como acabara la pandemia de Covid-19? | DARWIN, te necesito",2020-04-08T09:33:07Z,1499232,14358,1459,1666,145,El País,1170000,ES,https://www.youtube.com/watch?v=bgUIKkBKGH4
