,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-05-31-2020-06-07,UCTXNz3gjAypWp3EhlIATEJQ,O78RReuTXf4,Covid19: Toda la informacion sobre la pandemia que afecta a Chile y al mundo | 24 Horas TVN Chile,2020-06-04T18:50:18Z,1826243,41568.0,2262.0,3369.0,0,24horas.cl,790000,CL,https://www.youtube.com/watch?v=O78RReuTXf4
1,1,2020-05-31-2020-06-07,UCLXo7UDZvByw2ixzpQCufnA,2qdd7kirwIk,How deadly is Covid-19?,2020-06-04T12:29:40Z,1621173,26614.0,2520.0,2038.0,386,Vox,8610000,US,https://www.youtube.com/watch?v=2qdd7kirwIk
2,2,2020-05-31-2020-06-07,UCqVHGwQCmmGa2hjS7ydN4sQ,cVknsY2EICc,?COVID-19 [?][?]? ?Que se siente padecer de la enfermedad COVID-19? SINTOMAS DESDE EL DIA 1[?],2020-06-03T00:00:25Z,1203364,9071.0,1915.0,2466.0,1640,Dr. Luis Antonio Pacora Camargo,260000,PE,https://www.youtube.com/watch?v=cVknsY2EICc
3,3,2020-05-31-2020-06-07,UCqnbDFdCpuN8CMEg0VuEBqA,a_58Q0H7KoI,Funeral Homes in Mexico Show Coronavirus' Hidden Death Toll | Coronavirus News,2020-06-05T13:30:00Z,1011944,3793.0,2042.0,4228.0,424,The New York Times,3110000,Unknown,https://www.youtube.com/watch?v=a_58Q0H7KoI
4,4,2020-05-31-2020-06-07,UCeY0bbntWzzVIaj2z3QigXg,MhWlXGJwlPM,Protests Leave Little Space For Social Distancing As Coronavirus Rages On | NBC Nightly News,2020-05-31T23:54:32Z,763468,1700.0,3596.0,0.0,157,NBC News,3810000,Unknown,https://www.youtube.com/watch?v=MhWlXGJwlPM
5,5,2020-05-31-2020-06-07,UCiMg06DjcUk5FRiM3g5sqoQ,2jGvVbfaLiQ,CDC COVID-19 Response Promising Practices in Health Equity,2020-06-03T18:04:47Z,556300,10532.0,703.0,1490.0,3829,Centers for Disease Control and Prevention (CDC),476000,US,https://www.youtube.com/watch?v=2jGvVbfaLiQ
6,6,2020-05-31-2020-06-07,UCqVHGwQCmmGa2hjS7ydN4sQ,ewkLCdt8GKM,?IVERMECTINA EN EL MANEJO DEL COVID-19? APRENDIENDO SOBRE ESTE FARMACO ,2020-06-06T01:30:23Z,383691,1571.0,163.0,198.0,1109,Dr. Luis Antonio Pacora Camargo,260000,PE,https://www.youtube.com/watch?v=ewkLCdt8GKM
7,7,2020-05-31-2020-06-07,UC7c8mE90qCtu11z47U0KErg,MNS68IyfKvs,We test a home antibody kit for tracking Covid-19 transmission,2020-06-03T15:03:10Z,152230,527.0,101.0,298.0,217,nature video,471000,Unknown,https://www.youtube.com/watch?v=MNS68IyfKvs
8,8,2020-05-31-2020-06-07,UCqYw-CTd1dU2yGI71sEyqNw,OB0qJwk5yA8,"24 Oras News Alert: Philippines confirms 862 more COVID-19 cases; total tops 18,000",2020-05-31T13:58:37Z,132133,8592.0,201.0,1574.0,89,GMA News,7170000,PH,https://www.youtube.com/watch?v=OB0qJwk5yA8
9,9,2020-05-31-2020-06-07,UC0PYLVq1zCVI_KNAG1kDo_A,yjGvIpFeSTA,"#54 ?COMO TRATO A MIS PACIENTES CON COVID-19? | ADRIAN HERNANDEZ, MD.",2020-06-01T22:00:19Z,167083,N/A,N/A,N/A,999,El Paciente Primero,25400,EC,https://www.youtube.com/watch?v=yjGvIpFeSTA
10,10,2020-05-31-2020-06-07,UC_giJ3xlEL9jUF1YfJdzzuQ,5hu7_xIsCRg,An Introduction to COVID-19 Tests,2020-06-04T18:00:03Z,110100,1861,80,126,168,U.S. Food and Drug Administration,59500,US,https://www.youtube.com/watch?v=5hu7_xIsCRg
11,11,2020-05-31-2020-06-07,UCNUvsEya-Jq_Pw1t6R47hew,dfBP26riBvU,Coronavirus kaa ilaaj kaise ho rhaa hai? - Dr. Sushila (Hindi),2020-06-06T08:18:06Z,85498,7,0,0,430,1mg,326000,IN,https://www.youtube.com/watch?v=dfBP26riBvU
12,12,2020-05-31-2020-06-07,UCQOG3onkMMk724xiNDkryPQ,4BYRyEZL4Wo,DISTRIBUITOR DE DEZINFECTANT CU AVERTIZARE CORONAVIRUS,2020-06-03T13:02:55Z,57595,N/A,N/A,15,53,INTELIFORM Engineering Solutions,24,Unknown,https://www.youtube.com/watch?v=4BYRyEZL4Wo
13,13,2020-05-31-2020-06-07,UCHOgtQ7wm3e_fdPPZnkkzYA,gvLA--hGU70,COVID-19: How to wear a non-medical mask or face covering properly,2020-06-02T19:50:44Z,60004,367,31,N/A,85,Healthy Canadians,7020,CA,https://www.youtube.com/watch?v=gvLA--hGU70
