,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-07-26-2020-08-02,UCK8sQmJBp8GCxrOtXWBpyEA,9iPvLx7gotk,Wear a mask. Help slow the spread of Covid-19.,2020-07-31T17:42:28Z,3430995,2649,1071,401.0,15,Google,9300000,Unknown,https://www.youtube.com/watch?v=9iPvLx7gotk
1,1,2020-07-26-2020-08-02,UCSki2tX_5kadIdz3m8Q4Fvg,gsz5hqQR3xw,Apni Family Ka #RakhoPooraKhayaal | Protection against COVID-19 and other unforeseen illnesses,2020-07-31T12:54:43Z,3590320,16,0,N/A,20,Aditya Birla Capital,44300,IN,https://www.youtube.com/watch?v=gsz5hqQR3xw
2,2,2020-07-26-2020-08-02,UCmBT5CqUxf3-K5_IU9tVtBg,67Dq8ywvIDg,Tin moi nhat dich Covid-19: Da Nang &#39;dang rat nguy cap&#39; - VNEWS,2020-07-31T10:00:56Z,1923725,4241,1297,450,1677,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=67Dq8ywvIDg
3,3,2020-07-26-2020-08-02,UCmBT5CqUxf3-K5_IU9tVtBg,xHysbsNasWw,Tin tuc dich Covid-19 moi nhat 01/08/2020 - Vnews,2020-08-01T00:03:19Z,1795101,4202,1192,634,1214,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=xHysbsNasWw
4,4,2020-07-26-2020-08-02,UCH1oRy1dINbMVp3UFWrKP0w,PpjFZX40pM0,I&#39;m 16 and went to the hospital twice for COVID-19. This is what it&#39;s like l GMA Digital,2020-07-27T17:58:21Z,2395315,29612,1924,11797,313,Good Morning America,1930000,US,https://www.youtube.com/watch?v=PpjFZX40pM0
5,5,2020-07-26-2020-08-02,UC7723FqVehXq2zeRb3tP0hQ,lHmRgyM_SOc,Covid-19 hom nay: Viet Nam ghi nhan ca tu vong dau tien do dich virus corona (benh nhan 428) | FBNC,2020-07-31T09:06:22Z,1449984,4570,891,706,605,FBNC Vietnam,1060000,VN,https://www.youtube.com/watch?v=lHmRgyM_SOc
6,6,2020-07-26-2020-08-02,UCmBT5CqUxf3-K5_IU9tVtBg,Dhktra7wJSw,Tin moi nhat dich Covid-19: 2 nguoi Trung Quoc nhap canh trai phep co bieu hien sot - VNEWS,2020-08-01T10:04:02Z,1413906,3894,1135,879,1559,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=Dhktra7wJSw
7,7,2020-07-26-2020-08-02,UCL9-pEHNBs3N4r2bMoXdLJA,bBa21UQ9lqg,Tin tuc dich do virus Corona (Covid-19) sang 30/7: Them 9 ca nhiem virus Corona moi | VTC Now,2020-07-30T00:02:24Z,1360582,4181,881,566,2052,VTC NOW,1740000,VN,https://www.youtube.com/watch?v=bBa21UQ9lqg
8,8,2020-07-26-2020-08-02,UC9k-yiEpRHMNVOnOi_aQK8w,AL85RiXmcZM,Man Allegedly Buys Lamborghini With COVID-19 Relief Money,2020-07-28T22:51:44Z,1401254,34189,730,3731,125,Inside Edition,7830000,US,https://www.youtube.com/watch?v=AL85RiXmcZM
9,9,2020-07-26-2020-08-02,UCupvZG-5ko_eiXAupbDfxWw,syyJc7jPDM0,Report: Kushner&#39;s Covid-19 testing plan &#39;went poof into thin air&#39;,2020-08-01T00:25:02Z,1184113,12878,1221,7153,399,CNN,10500000,Unknown,https://www.youtube.com/watch?v=syyJc7jPDM0
10,10,2020-07-26-2020-08-02,UCfa352_VIp2AI7R9Euh0QfA,jCyKt5wKXWg,COVID-19 Tro Lai &amp; Nguoi Trung Quoc | Cuoi Tuan Mat Ngu!,2020-08-01T15:00:16Z,1186604,65514,533,5235,665,JV,2030000,VN,https://www.youtube.com/watch?v=jCyKt5wKXWg
11,11,2020-07-26-2020-08-02,UCDCMjD1XIAsCZsYHNMGVcog,_GAcwm4dhIw,"Fever is not a predominant COVID symptom,Says AIIMS | V6 News",2020-07-27T06:17:34Z,1274176,5396,742,423,314,V6 News Telugu,5410000,IN,https://www.youtube.com/watch?v=_GAcwm4dhIw
12,12,2020-07-26-2020-08-02,UCmBT5CqUxf3-K5_IU9tVtBg,snsgBg4OByM,Tin tuc dich Covid-19 moi nhat ngay 30/7/2020 - Vnews,2020-07-30T09:13:56Z,1043308,2113,687,151,1327,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=snsgBg4OByM
13,13,2020-07-26-2020-08-02,UCwbdE36Ey2CNeANU7Y23kww,GeCptUWXiXk,Le interviste Imbruttite - Gallipoli 2020 (CORONAVIRUS edition),2020-07-30T13:58:01Z,1137472,24483,1604,4590,384,Il Milanese Imbruttito,462000,Unknown,https://www.youtube.com/watch?v=GeCptUWXiXk
14,14,2020-07-26-2020-08-02,UCmBT5CqUxf3-K5_IU9tVtBg,FgwW8BMs6y8,Tin tuc dich Covid-19 moi nhat ngay 28/7/2020 - Vnews,2020-07-28T07:45:05Z,1022717,2649,710,229,968,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=FgwW8BMs6y8
