,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,0,2020-02-16-2020-02-23,UCzznO4xSV8BKnUBPyswtCUw,ZC0gww2yznI,Chinese scientists says COVID-19/coronavirus could have originated from government ...,2020-02-17T00:15:32Z,4330572,18093.0,1980.0,7431.0,121,ARIRANG NEWS,397000,Unknown,https://www.youtube.com/watch?v=ZC0gww2yznI
1,1,2020-02-16-2020-02-23,UCElSxbeJh0r1B3KUQT1k4eA,HSGbs0GwJUM,?Que es el Coronavirus? Causas y origen,2020-02-19T19:34:00Z,2605169,25064.0,2025.0,72.0,293,Top Doctors LATAM,140000,MX,https://www.youtube.com/watch?v=HSGbs0GwJUM
2,2,2020-02-16-2020-02-23,UCMSsLqxqvZsNXi0Z-VjN89A,V-7SQGPkijs,Coronavirus Autopsy Report Analysis by Dr. Mike | COVID-19 Autopsy,2020-02-21T17:45:00Z,1842712,66967.0,1329.0,6830.0,623,Doctor Mike Hansen,385000,US,https://www.youtube.com/watch?v=V-7SQGPkijs
3,3,2020-02-16-2020-02-23,UCATNzbTbfeoMhNonZGZmrhA,sHP0UIdZyI4,What Is Coronavirus (COVID-19)?,2020-02-19T17:18:11Z,1760303,9333.0,1021.0,646.0,271,Johns Hopkins Medicine,195000,US,https://www.youtube.com/watch?v=sHP0UIdZyI4
4,4,2020-02-16-2020-02-23,UCTrQ7HXWRRxr7OsOtodr2_w,rI_MG3ZnDak,How North Korea is reporting on coronavirus (English subtitles),2020-02-17T18:01:46Z,1465772,20376.0,539.0,5463.0,511,Channel 4 News,1430000,GB,https://www.youtube.com/watch?v=rI_MG3ZnDak
5,5,2020-02-16-2020-02-23,UCYpRDnhk5H8h16jpS84uqsA,qGXfijNZug4,Comment le coronavirus defie la censure chinoise,2020-02-18T15:23:08Z,1153366,19494.0,692.0,2345.0,421,Le Monde,885000,FR,https://www.youtube.com/watch?v=qGXfijNZug4
6,6,2020-02-16-2020-02-23,UC4SUWizzKc1tptprBkWjX2Q,WZjNtxofkXM,Disinfection tunnels built to clean people within 20 seconds amid coronavirus outbreak,2020-02-17T13:58:47Z,1038009,9568.0,282.0,1675.0,81,South China Morning Post,1370000,HK,https://www.youtube.com/watch?v=WZjNtxofkXM
7,7,2020-02-16-2020-02-23,UCDpHc1LkcEpiWR0q7ll5eZQ,bG6zISnenPg,NETEC: Personal Protective Equipment for COVID-19,2020-02-18T15:37:06Z,536920,N/A,N/A,N/A,1080,The NETEC,1990,US,https://www.youtube.com/watch?v=bG6zISnenPg
8,8,2020-02-16-2020-02-23,UCawhykebEeDYMLFNeEdnX7g,6HhnfThnaFo,SYAxRIA E07 : The Wuhan Virus AKA Covid-19,2020-02-21T11:58:52Z,352023,9455,405,606,1198,Dee Kosh,380000,SG,https://www.youtube.com/watch?v=6HhnfThnaFo
9,9,2020-02-16-2020-02-23,UCSW0CYhKC1J0cpknZvN8MvQ,Wx7-fiTaAH0,Hoe is het coronavirus ontstaan?,2020-02-22T09:00:05Z,228327,1498,112,296,271,Universiteit van Nederland,142000,NL,https://www.youtube.com/watch?v=Wx7-fiTaAH0
