,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-03-22-2020-03-29,UCUsm-fannqOY02PNN67C0KA,qM8RYN1MAh8,Noticias en Vivo (Ultima Hora): Noticieros Televisa / ForoTV,2020-03-25T17:42:02Z,19295833,36329,12010,0,0,Noticieros Televisa,3170000,MX,https://www.youtube.com/watch?v=qM8RYN1MAh8
1,2020-03-22-2020-03-29,UC85VW73bQLEjs_taFKP7TwQ,5DGwOJXSxqg,COVID-19 Animation: What Happens If You Get Coronavirus?,2020-03-28T13:21:41Z,17727886,192293,8821,13697,448,Nucleus Medical Media,2730000,US,https://www.youtube.com/watch?v=5DGwOJXSxqg
2,2020-03-22-2020-03-29,UCphTF9wHwhCt-BzIq-s4V-g,7sQCmgCmN7U,What Happens If You Caught The Coronavirus?,2020-03-28T15:00:02Z,8760075,188828,3558,9952,468,What If,4270000,CA,https://www.youtube.com/watch?v=7sQCmgCmN7U
3,2020-03-22-2020-03-29,UCqnbDFdCpuN8CMEg0VuEBqA,bE68xVXf8Kw,'People Are Dying': Battling Coronavirus Inside a N.Y.C. Hospital | NYT News,2020-03-26T13:30:07Z,8031178,110743,9314,30573,334,The New York Times,3110000,Unknown,https://www.youtube.com/watch?v=bE68xVXf8Kw
4,2020-03-22-2020-03-29,UCG5TBPANNSiKf1Dp-R5Dibg,fPbYaTKKtmA,Corona Virus Disease / COVID-19: Sahi aur Galath coronavirus disease ke baare me ( HINDI ) - Part 1,2020-03-24T15:54:56Z,6483953,74685,6697,3457,874,Dr.G Bhanu Prakash Animated Medical Videos,288000,IN,https://www.youtube.com/watch?v=fPbYaTKKtmA
5,2020-03-22-2020-03-29,UCUHW94eEFW7hkUMVaZz4eDg,54XLXg4fYsc,How To Tell If We&#39;re Beating COVID-19,2020-03-27T17:10:04Z,6018641,148398,5652,17788,436,minutephysics,5120000,Unknown,https://www.youtube.com/watch?v=54XLXg4fYsc
6,2020-03-22-2020-03-29,UC_W2CNqJ6kJr5enV3gfZ-sw,udprEtDVmIY,My Family Has Mild Coronavirus.  Here&#39;s Our Home Covid-19 Treatment Plan,2020-03-26T14:19:57Z,5789573,138819,6556,9502,543,Modern Aging - Holistic Health and Wealth After 50,113000,US,https://www.youtube.com/watch?v=udprEtDVmIY
7,2020-03-22-2020-03-29,UCAuUUnT6oDeKwE6v1NGQxug,Xe8fIjxicoo,How we must respond to the coronavirus pandemic | Bill Gates,2020-03-25T17:15:59Z,4622765,72414,9509,19037,3111,TED,17900000,US,https://www.youtube.com/watch?v=Xe8fIjxicoo
8,2020-03-22-2020-03-29,UCoMdktPbSTixAyNGwb-UYkQ,vdx4Jo0GCRU,Coronavirus: Italian city's warning to the rest of the world,2020-03-22T22:38:40Z,4088833,35909,1448,7722,293,Sky News,2590000,GB,https://www.youtube.com/watch?v=vdx4Jo0GCRU
9,2020-03-22-2020-03-29,UCVuIIm6TH5CWw7KOyAmo9FA,ZnVk12sFRkY,Instructional video for sewing the Olson mask (COVID-19) #FaceMask #FabricFaceMask  #facemaskpattern,2020-03-22T22:30:54Z,3925513,30555,1752,3292,1101,UnityPoint Health - Cedar Rapids,27500,US,https://www.youtube.com/watch?v=ZnVk12sFRkY
