,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-07-19-2020-07-26,UC3XTzVzaHQEd30rQbuvCtTQ,0b_eHBZLM6U,Coronavirus: Conspiracy Theories: Last Week Tonight with John Oliver (HBO),2020-07-20T06:30:00Z,7578183,219751,8689,31348,1339,LastWeekTonight,8340000,Unknown,https://www.youtube.com/watch?v=0b_eHBZLM6U
1,2020-07-19-2020-07-26,UCFvH-hGEKg2elZ7k-_5eQEg,unmyiQuAwSk,Juntos podemos contra el COVID-19,2020-07-23T21:59:01Z,5167444,N/A,N/A,N/A,31,CA Public Health,6290,Unknown,https://www.youtube.com/watch?v=unmyiQuAwSk
2,2020-07-19-2020-07-26,UCMtFAi84ehTSYSE9XoHefig,Lv0Tosgb0Ss,"A Desperate Trump Promises New Covid Strategy, Sends Bizarre Well Wishes To Ghislaine Maxwell",2020-07-23T03:50:00Z,2876741,44823,2188,7459,770,The Late Show with Stephen Colbert,7800000,Unknown,https://www.youtube.com/watch?v=Lv0Tosgb0Ss
3,2020-07-19-2020-07-26,UCmphdqZNmqL72WJ2uyiNw5w,wu6fY-VaF8M,Covid 19 Vaccine pr bdd'ii khbr: jaanie India meN Vaccine kb aur kitne meN milegii? | Dibang | ABP Uncut,2020-07-25T06:32:22Z,2448927,42349,3388,6076,364,ABP NEWS HINDI,18700000,IN,https://www.youtube.com/watch?v=wu6fY-VaF8M
4,2020-07-19-2020-07-26,UCIV7G_xiYLekqOvqlkcwoVA,DXz3Dsc-RhQ,COVID-19 testing: do you have any of these symptoms?,2020-07-23T01:01:44Z,2320112,N/A,N/A,N/A,30,VicGovDHHS,2090,AU,https://www.youtube.com/watch?v=DXz3Dsc-RhQ
5,2020-07-19-2020-07-26,UC7QZIf0dta-XPXsp9Hv4dTw,sfAvNlnmhss,EN DIRECTO  #CORONAVIRUS toda la actualidad nacional e internacional l RTVE Noticias 24h,2020-07-22T17:39:24Z,2140120,4408,1548,0,0,RTVE Noticias,129000,ES,https://www.youtube.com/watch?v=sfAvNlnmhss
6,2020-07-19-2020-07-26,UCaXkIU1QidjPwiAYu6GcHjg,aCAqzhRF4MI,Watch Donald Trump Implode On Fox News Over COVID Falsehoods | The Beat With Ari Melber | MSNBC,2020-07-21T00:25:08Z,1996773,23879,1863,8536,227,MSNBC,3440000,Unknown,https://www.youtube.com/watch?v=aCAqzhRF4MI
7,2020-07-19-2020-07-26,UCVTyTA7-g9nopHeHbeuvpRA,eN3QaNtcsZ4,"Trump Holds Coronavirus Briefing, Threatens to Send More Secret Police: A Closer Look",2020-07-23T01:00:06Z,1804426,33689,911,4877,659,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=eN3QaNtcsZ4
8,2020-07-19-2020-07-26,UCIvaYmXn910QMdemBG3v1pQ,mC1u9Izb2WQ,DNA: Corona Vaccine ke iNtjaar kaa &#39;crnnbddh vishlessnn&#39; | Coronavirus Vaccine | COVID-19 Vaccine,2020-07-20T17:18:29Z,1727570,18505,2006,829,1624,Zee News,15500000,IN,https://www.youtube.com/watch?v=mC1u9Izb2WQ
9,2020-07-19-2020-07-26,UCPXTXMecYqnRKNdqdVOGSFg,Daf2VnASRto,Coronavirus Vaccine : Oxford vaccine found &quot;SAFE&quot; in early trials - TV9,2020-07-20T14:57:55Z,1547680,N/A,N/A,1297,313,TV9 Telugu Live,6400000,IN,https://www.youtube.com/watch?v=Daf2VnASRto
10,2020-07-19-2020-07-26,UCupvZG-5ko_eiXAupbDfxWw,hY1F5k5i1Uk,Fauci: I was not invited to Trump&#39;s coronavirus briefing,2020-07-21T21:44:39Z,1409763,14228,1777,9415,671,CNN,10500000,Unknown,https://www.youtube.com/watch?v=hY1F5k5i1Uk
11,2020-07-19-2020-07-26,UCXIJgqnII2ZOINSWNOGFThA,uQS-Er4amRA,Tucker: Coronavirus response is being driven by politics,2020-07-24T00:39:13Z,1390408,48118,2755,16134,536,Fox News,6060000,US,https://www.youtube.com/watch?v=uQS-Er4amRA
12,2020-07-19-2020-07-26,UCXIJgqnII2ZOINSWNOGFThA,NYZaVF6i8cA,Ingraham: Joe Biden&#39;s fantasy COVID fix,2020-07-21T03:00:12Z,1372526,27325,1720,9340,571,Fox News,6060000,US,https://www.youtube.com/watch?v=NYZaVF6i8cA
