,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-08-02-2020-08-09,UCUR8Hid3gm05upmtk4LrgpQ,czmpdY1VFFs,Superheroes VS Coronavirus,2020-08-04T12:30:03Z,15460140,38900,16856,N/A,94,FatTV,1780000,US,https://www.youtube.com/watch?v=czmpdY1VFFs
1,2020-08-02-2020-08-09,UCVTyTA7-g9nopHeHbeuvpRA,so4rhYKbwv0,"Trump Investigated for Fraud, Says Coronavirus Will ""Go Away"": A Closer Look",2020-08-07T01:00:12Z,2326006,37365,1409,5990,573,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=so4rhYKbwv0
2,2020-08-02-2020-08-09,UCLXo7UDZvByw2ixzpQCufnA,Djy3WNLz_mM,The coronavirus is mutating. Now what?,2020-08-07T12:00:04Z,2206543,43803,6449,8660,396,Vox,8610000,US,https://www.youtube.com/watch?v=Djy3WNLz_mM
3,2020-08-02-2020-08-09,UCmBT5CqUxf3-K5_IU9tVtBg,DTkV5omw4vg,Tin tuc dich Covid-19 moi nhat ngay 03/08/2020 - VNEWS,2020-08-03T00:19:52Z,1853421,4942,1317,579,984,VNEWS - TRUYỀN HÌNH THÔNG TẤN,315000,VN,https://www.youtube.com/watch?v=DTkV5omw4vg
4,2020-08-02-2020-08-09,UCJsUvAqDzczYv2UpFmu4PcA,lJaR-tkiwV8,The Exciting Covid-19 Vaccine!,2020-08-08T12:00:18Z,1657945,75722,4723,19680,215,Nas Daily,1550000,US,https://www.youtube.com/watch?v=lJaR-tkiwV8
5,2020-08-02-2020-08-09,UCno7Il827hKNgL7lArqRifQ,MFJWwOF4Asw,Special Report: A New Virus Evolving In China During COVID-19 Pandemic | Kanak News Live,2020-08-06T07:30:01Z,1443117,18077,1186,839,129,Kanak News LIVE,327000,IN,https://www.youtube.com/watch?v=MFJWwOF4Asw
6,2020-08-02-2020-08-09,UCXIJgqnII2ZOINSWNOGFThA,alJDB2N3XfU,Ingraham: The real COVID record,2020-08-05T02:45:03Z,1248199,35745,1661,9320,726,Fox News,6060000,US,https://www.youtube.com/watch?v=alJDB2N3XfU
7,2020-08-02-2020-08-09,UCnLu_gk-FZF7Jt5KoVQU52Q,Xi2O1HcdIDc,Tin moi nhat dich Covid 19 - Ca tu vong thu 10 o benh nhan mac COVID-19 | Thoi Su VTV1 Hom Nay,2020-08-06T09:49:26Z,1181849,2435,759,124,1684,VTV Cab Tin Tức,0,VN,https://www.youtube.com/watch?v=Xi2O1HcdIDc
8,2020-08-02-2020-08-09,UCXIJgqnII2ZOINSWNOGFThA,wlUkKPcwc0k,Gov. Noem explains how South Dakota kept COVID cases low without locking down,2020-08-05T03:40:00Z,1157111,34379,1192,9984,318,Fox News,6060000,US,https://www.youtube.com/watch?v=wlUkKPcwc0k
9,2020-08-02-2020-08-09,UC9CYT9gSNLevX5ey2_6CK0Q,s6UlP2Lq348,Covid-19 News: gRh mNtrii Amit Shah Coronavirus se sNkrmit,2020-08-02T12:35:37Z,1139174,13808,1073,5660,218,NDTV India,8570000,IN,https://www.youtube.com/watch?v=s6UlP2Lq348
