,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2019-12-01-2019-12-08,UC2hVIFvxtEAIFNhICzM3Tpg,tivu33Py_3E,El mejor te para combatir el Coronavirus,2019-12-01T14:15:08Z,6094293,89303,4557,4248,702,juanmigueldorantes,61600,Unknown,https://www.youtube.com/watch?v=tivu33Py_3E
1,2019-12-01-2019-12-08,UCSyeS0mKUTgTVY4D4xIQNZA,gs4tw7dPX7s,Bengkel Mobil Modern CARfix | Bisa Service Mobilmu #dirumahaja selama Pandemi Covid 19,2019-12-04T05:52:04Z,1039444,2038,1220,5,61,Carfix Indonesia TV,6760,ID,https://www.youtube.com/watch?v=gs4tw7dPX7s
2,2019-12-01-2019-12-08,UC-ZHt5Zgadfx-B1CM63Lqew,ChUAaG0UVCA,[WayV-ehind] WE ARE YOUR VISION in Wuhan,2019-12-07T08:00:03Z,109828,14593,22,445,239,WayV,1660000,CN,https://www.youtube.com/watch?v=ChUAaG0UVCA
3,2019-12-01-2019-12-08,UC-ZHt5Zgadfx-B1CM63Lqew,hegXnAeL0mg,[WayV-log] Getting ready before fanmeeting in Wuhan,2019-12-06T09:00:10Z,104775,14609,26,428,219,WayV,1660000,CN,https://www.youtube.com/watch?v=hegXnAeL0mg
4,2019-12-01-2019-12-08,UCArzYl6AhSzSNOG-5Y2b7vQ,H6x5Q8SfuWU,Wuhan city - China Skyline,2019-12-04T21:20:01Z,51402,307,29,57,195,Fly with Jaouad,5920,MA,https://www.youtube.com/watch?v=H6x5Q8SfuWU
5,2019-12-01-2019-12-08,UC6DLDbez3xSumcU0VkSoR5Q,k2PYveu60d0,How Sars Killed Me &amp; I Came Back To Life IPOB Coordinator Speaks,2019-12-01T21:21:10Z,27105,461,13,123,701,BVI Channel 1,108000,NG,https://www.youtube.com/watch?v=k2PYveu60d0
6,2019-12-01-2019-12-08,UClwhHLXQAQKNqWGU6PIZcYw,t__AAIjJ-ak,Sholawat nabi.. &quot;THIBBIL QULUB&quot; merdu.. full lirik..penangkal virus corona( covid-19 ),2019-12-03T11:29:11Z,22733,183,8,8,417,Bungsu Amak,529,ID,https://www.youtube.com/watch?v=t__AAIjJ-ak
7,2019-12-01-2019-12-08,UCaBIVVpHjq6j3tSyxwTE-8Q,FRbN7Zj0UZE,Hsieh Su-wei vs. Caroline Wozniacki | Full Match | 2019 Wuhan First Round,2019-12-02T14:00:02Z,16203,160,16,24,7973,WTA,226000,Unknown,https://www.youtube.com/watch?v=FRbN7Zj0UZE
8,2019-12-01-2019-12-08,UC8xSCjbnQhxx78EuGqd365g,IkQzGZhFMx8,Tea for Boosting Immune System | COVID 19 Immunity Booster  | Ayurvedic herbal tea,2019-12-07T02:30:00Z,16000,212,9,37,432,Munch & Mull,4850,IN,https://www.youtube.com/watch?v=IkQzGZhFMx8
9,2019-12-01-2019-12-08,UC9PJwgRYEP9B5bjuRrxFkXQ,go0IhjNzlbw,chasse sous marine bretagne aout 2019 lieus bars sars thon,2019-12-07T06:19:16Z,14355,90,8,19,470,dav56,285,Unknown,https://www.youtube.com/watch?v=go0IhjNzlbw
