,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-04-26-2020-05-03,UCVSNOxehfALut52NbkfRBaA,EQRZoxnnfbA,Coronavirus: El Salvador Declares State of Emergency in Prisons,2020-04-26T16:53:22Z,7361786,16142,4302,1321,48,VOA News,1330000,US,https://www.youtube.com/watch?v=EQRZoxnnfbA
1,2020-04-26-2020-05-03,UCLXo7UDZvByw2ixzpQCufnA,O-3Mlj3MQ_Q,How coronavirus charts can mislead us,2020-04-28T14:15:00Z,2402262,57273,2506,4946,298,Vox,8610000,US,https://www.youtube.com/watch?v=O-3Mlj3MQ_Q
2,2020-04-26-2020-05-03,UCVTyTA7-g9nopHeHbeuvpRA,SQLPqCcs5I4,"Kushner and Trump Call Coronavirus Response ""Success Story"" and ""Great Job"": A Closer Look",2020-05-01T03:30:02Z,2293944,38667,1126,6174,920,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=SQLPqCcs5I4
3,2020-04-26-2020-05-03,UCHbq_l1qnuomfJCYQTsWf_Q,gSKY4Oz9IXQ,THE REAL TRUTH ABOUT CORONAVIRUS by Dr. Steven Gundry,2020-04-27T11:00:19Z,2099579,25204,9089,12160,606,Motivation Madness,1860000,CA,https://www.youtube.com/watch?v=gSKY4Oz9IXQ
4,2020-04-26-2020-05-03,UCVTyTA7-g9nopHeHbeuvpRA,5ePLlJmZ_bk,Trump Ignored Coronavirus Warnings; Pence Refused to Wear a Mask: A Closer Look,2020-04-30T03:30:00Z,1894632,33903,1097,5703,872,Late Night with Seth Meyers,3850000,US,https://www.youtube.com/watch?v=5ePLlJmZ_bk
5,2020-04-26-2020-05-03,UCsP7Bpw36J666Fct5M8u-ZA,XMHySlDqpUw,Debunking Viral Covid-19 Videos | How To Cook That Ann Reardon,2020-05-01T09:30:09Z,1833615,103113,1017,10007,1272,How To Cook That,4390000,AU,https://www.youtube.com/watch?v=XMHySlDqpUw
6,2020-04-26-2020-05-03,UC8EdTmyUaFIfZvVttJ9lgIA,nwQ7BzKDUF8,?PREDIJO EL CORONAVIRUS? Video de Alejandro Ayun da la vuelta al mundo - Contigo en La Manana,2020-04-27T23:59:53Z,1661976,14337,2871,1869,1984,Chilevisión,2070000,CL,https://www.youtube.com/watch?v=nwQ7BzKDUF8
7,2020-04-26-2020-05-03,UCDnq05Q89oYq-Tz5boL73Tw,Eh8BOSu5JVw,21 Year Old Mumbai Boy&#39;s Story Of COVID-19 Recovery | Curly Tales,2020-05-01T11:30:00Z,1581071,37217,1493,1647,338,Curly Tales,702000,IN,https://www.youtube.com/watch?v=Eh8BOSu5JVw
8,2020-04-26-2020-05-03,UCGqQrz8HUV98ii7A_Pz1X_Q,ThG_02miq-4,Coronavirus Test: Real time RT-PCR - Animation video,2020-04-26T04:21:03Z,1548588,27531,816,642,500,Biology with Animations,35100,Unknown,https://www.youtube.com/watch?v=ThG_02miq-4
9,2020-04-26-2020-05-03,UCeY0bbntWzzVIaj2z3QigXg,zGZNdc3QnJY,Watch Brad Pitt As Dr. Fauci Diagnose Trump's COVID-19 Response On 'SNL' | NBC News,2020-04-26T15:55:59Z,1460792,14209,1701,1459,233,NBC News,3810000,Unknown,https://www.youtube.com/watch?v=zGZNdc3QnJY
10,2020-04-26-2020-05-03,UCETZ7r1_8C1DNFDO-7UXwqw,HHKXYWZYH5E,Alicia Keys - Empire State of Mind (Part II) Broken Down (BET COVID-19 Relief Effort),2020-04-30T21:40:03Z,1357227,45176,434,1587,399,aliciakeysVEVO,2440000,Unknown,https://www.youtube.com/watch?v=HHKXYWZYH5E
11,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,rXzD2XZFwQY,Conspiracy theorists said she started the coronavirus pandemic. Now she&#39;s afraid for her life.,2020-04-27T12:45:04Z,1042793,6365,3712,9445,292,CNN,10500000,Unknown,https://www.youtube.com/watch?v=rXzD2XZFwQY
12,2020-04-26-2020-05-03,UCG45hMChrxiQjuFc3CiF87A,TdIsTLg7RQM,What Is PCR Testing for COVID-19?,2020-04-29T12:25:59Z,705542,1949,322,429,116,AACC,4490,US,https://www.youtube.com/watch?v=TdIsTLg7RQM
13,2020-04-26-2020-05-03,UCG5TBPANNSiKf1Dp-R5Dibg,fX8uyZZ-WiE,Corona Virus Disease / COVID-19: Sahi aur Galath coronavirus disease ke baare me ( HINDI ) - PART 2,2020-04-28T07:00:30Z,651475,7626,813,307,1533,Dr.G Bhanu Prakash Animated Medical Videos,288000,IN,https://www.youtube.com/watch?v=fX8uyZZ-WiE
14,2020-04-26-2020-05-03,UC_lEiu6917IJz03TnntWUaQ,1f8DQQH-PDw,"Danna Garcia, dos veces positivo por covid-19; antes tuvo dengue, zika y chikungunya",2020-04-30T04:49:37Z,646250,6944,480,2097,779,CNN en Español,1960000,US,https://www.youtube.com/watch?v=1f8DQQH-PDw
15,2020-04-26-2020-05-03,UCIRYBXDze5krPDzAEOxFGVA,zXXFf0Q2bcU,Armed protesters enter Michigan&#39;s state capitol demanding end to coronavirus lockdown,2020-05-01T04:14:20Z,562739,1855,580,3146,61,Guardian News,1300000,GB,https://www.youtube.com/watch?v=zXXFf0Q2bcU
16,2020-04-26-2020-05-03,UCknLrEdhRCp1aegoMqRaCZg,RusMz-PbB9Y,Coronavirus vaccine update: How far along is the research? | COVID-19 Special,2020-05-01T17:46:19Z,461291,3654,364,854,798,DW News,1680000,DE,https://www.youtube.com/watch?v=RusMz-PbB9Y
17,2020-04-26-2020-05-03,UC2Xq2PK-got3Rtz9ZJ32hLQ,0wVS4wj8dpA,"No los mata el coronavirus, pero si las balas: triste panorama que vive el Cauca | Noticias Caracol",2020-04-29T01:13:30Z,417473,2090,223,499,338,Noticias Caracol,3350000,CO,https://www.youtube.com/watch?v=0wVS4wj8dpA
18,2020-04-26-2020-05-03,UC2D0dmLHKbIe9aACnlcTLPg,5iqQgI8KGuc,Simptomy koronavirusa. Chem COVID-19 otlichaetsia ot allergii?,2020-04-28T12:00:02Z,402425,2703,449,958,195,Россия 1,3750000,RU,https://www.youtube.com/watch?v=5iqQgI8KGuc
19,2020-04-26-2020-05-03,UCUuV1VClFqe5yTMvITTgGDw,AC9_nWHicUA,Cuento para ninas y ninos sobre el Covid-19,2020-05-01T01:49:38Z,269905,1938,261,134,195,Instituto del Deporte de la Ciudad de México,3330,MX,https://www.youtube.com/watch?v=AC9_nWHicUA
