,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-07-05-2020-07-12,UC8Z-VjXBtDJTvq6aqkIskPg,Vq-9xWMiiVQ,LIVE: Polimer News Live | Tamil News | COVID 19 | Corona Live Updates |China |India| Unlock 4| Onam,2020-07-06T08:57:07Z,34368182,69054,16396,0,0,Polimer News,4200000,IN,https://www.youtube.com/watch?v=Vq-9xWMiiVQ
1,2020-07-05-2020-07-12,UCiha1h9wDB6MBXQKtttqHUg,Vpwy7j2zbQ4, JURASSIC WORLD CORONAVIRUS THE MUSICAL - Animated Song,2020-07-05T15:30:15Z,12941543,63662,9399,5732,215,LHUGUENY,2800000,US,https://www.youtube.com/watch?v=Vpwy7j2zbQ4
2,2020-07-05-2020-07-12,UCko1TZB_PSKi1HP-CnhVJnw,R9LsM4NdnyU,KADER TIRIGOU :  lmuhim Gy lSWH@ -(Short version CORONAVIRUS),2020-07-06T12:23:30Z,3822692,44821,1753,1026,229,Mini-Pouss Production,0,DZ,https://www.youtube.com/watch?v=R9LsM4NdnyU
3,2020-07-05-2020-07-12,UC-CSyyi47VX1lD9zyeABW3w,vt2tcaeQXI0,Reality of COVID-19 Vaccine | Dhruv Rathee,2020-07-07T09:44:04Z,1903816,151372,10536,10793,844,Dhruv Rathee,4210000,DE,https://www.youtube.com/watch?v=vt2tcaeQXI0
4,2020-07-05-2020-07-12,UC_lEiu6917IJz03TnntWUaQ,Lx0NKCHeXAI,Los transmisores silenciosos de covid-19,2020-07-07T21:53:23Z,1885608,28937,3181,4373,1914,CNN en Español,1960000,US,https://www.youtube.com/watch?v=Lx0NKCHeXAI
5,2020-07-05-2020-07-12,UCo7a6riBFJ3tkeHjvkXPn1g,LDk9CW82puo,Vietnam has zero coronavirus deaths. Here's why. | CNBC Reports,2020-07-06T21:00:05Z,1503509,23674,1480,8953,461,CNBC International,873000,GB,https://www.youtube.com/watch?v=LDk9CW82puo
6,2020-07-05-2020-07-12,UCWrXqW4HrgGw10WUPm15S6Q,NEzeaEX_TtQ,Villager vs Pillager Life [COVID-19]: FULL ANIMATION - Minecraft Animation,2020-07-11T07:00:41Z,1465471,32105,1273,1958,2931,Alien Being,2400000,Unknown,https://www.youtube.com/watch?v=NEzeaEX_TtQ
7,2020-07-05-2020-07-12,UCXIJgqnII2ZOINSWNOGFThA,NUbrE1v4kuQ,Chinese virologist accuses Beijing of hiding details on coronavirus,2020-07-11T01:45:00Z,1270643,27133,1618,7940,328,Fox News,6060000,US,https://www.youtube.com/watch?v=NUbrE1v4kuQ
8,2020-07-05-2020-07-12,UCxEct2HUBYj_mt4t7qR9UYg,WRwMkJ5EZjY,Coronavirus Closes Down Bondi Beach *EXCLUSIVE SEASON 15 CLIP*,2020-07-07T22:00:07Z,1148902,27678,324,1866,196,BondiRescue,1150000,AU,https://www.youtube.com/watch?v=WRwMkJ5EZjY
9,2020-07-05-2020-07-12,UC_gUM8rL-Lrg6O3adPW9K1g,McMGBwNx7FI,Gravitas: Wuhan floods | Natural or Deliberate?,2020-07-07T19:19:31Z,1060771,13488,1087,2567,248,WION,1660000,IN,https://www.youtube.com/watch?v=McMGBwNx7FI
10,2020-07-05-2020-07-12,UCC-slLJZ4p4HOznMUcFn_2g,DIbohiYGWxE,COVID-20,2020-07-05T18:35:55Z,1049182,114370,484,3783,63,Zalinki,342000,VI,https://www.youtube.com/watch?v=DIbohiYGWxE
11,2020-07-05-2020-07-12,UCGzwLkrpclmeHYA9hlw6idg,xmMYsoCJ_vU,"Coronavirus Live Stream: City Traffic, Real Time Cases, Maps, Timelines, News, Economy",2020-07-06T23:10:55Z,1029724,1941,188,0,0,Number Story,33900,Unknown,https://www.youtube.com/watch?v=xmMYsoCJ_vU
12,2020-07-05-2020-07-12,UCZYTClx2T1of7BRZ86-8fow,GqrA6ojnhJQ,What Does an Asymptomatic COVID-19 Infection Look Like?,2020-07-10T21:00:03Z,1013209,19373,868,2065,321,SciShow,6370000,US,https://www.youtube.com/watch?v=GqrA6ojnhJQ
13,2020-07-05-2020-07-12,UC1soS3R3rE_4wZKHroZCh9w,GtnhAF-FSu0,Corona Vs Kaje Ayurveda: Dr Giridhar Kaje Suggests How To Prevent Coronavirus At Home With Ayurveda,2020-07-06T08:37:58Z,1008663,6839,1009,571,3112,TV9 Latest News,41400,Unknown,https://www.youtube.com/watch?v=GtnhAF-FSu0
14,2020-07-05-2020-07-12,UCupvZG-5ko_eiXAupbDfxWw,DbKsBgNCrfU,"Cooper: Covid-19 is winning, and Trump has no plan to stop it",2020-07-11T01:43:43Z,917898,16850,1628,10147,744,CNN,10500000,Unknown,https://www.youtube.com/watch?v=DbKsBgNCrfU
15,2020-07-05-2020-07-12,UC8EdTmyUaFIfZvVttJ9lgIA,7Yeu8JnPcdE,?VACUNA LISTA? Universidad de Oxford revelo fecha de posible remedio para Covid-19,2020-07-06T20:32:22Z,901541,6637,718,1444,1094,Chilevisión,2070000,CL,https://www.youtube.com/watch?v=7Yeu8JnPcdE
16,2020-07-05-2020-07-12,UCupvZG-5ko_eiXAupbDfxWw,4oXMM2L88W4,US setting records as Covid-19 cases soar,2020-07-05T13:06:41Z,883996,7888,1195,7102,518,CNN,10500000,Unknown,https://www.youtube.com/watch?v=4oXMM2L88W4
17,2020-07-05-2020-07-12,UCxHxjuu-lYULyVlrh_ZR1uQ,XOb-IJJXbhg,Asi Sera el Regreso a Clases con Coronavirus  CHISTES,2020-07-07T16:21:34Z,803739,21462,1007,2265,780,Beby,2650000,DO,https://www.youtube.com/watch?v=XOb-IJJXbhg
18,2020-07-05-2020-07-12,UCDTth2ilnxyr4c9wfNiwqaA,yt02gO3ccf4,Coronavirus (COVID-19) Symptoms - kaise phcaane kii hmeN koronaa vaayrs kaa inphekshn hai kii nhiiN?,2020-07-06T16:46:44Z,767509,6909,794,331,234,Care Well Medical Centre,15000,IN,https://www.youtube.com/watch?v=yt02gO3ccf4
19,2020-07-05-2020-07-12,UC2RFakE0-eLOWgIVGGGn6tg,kG31fuip2Bw,VIAJAR EN AVION en tiempos de COVID | Alex Tienda [?],2020-07-08T18:01:21Z,744321,30680,716,2112,1383,Alex Tienda,1910000,MX,https://www.youtube.com/watch?v=kG31fuip2Bw
20,2020-07-05-2020-07-12,UCupvZG-5ko_eiXAupbDfxWw,AJYB_FUMbY0,Trump rebukes Fauci: We are in a good place on Covid-19,2020-07-08T00:17:12Z,715493,8266,833,5812,635,CNN,10500000,Unknown,https://www.youtube.com/watch?v=AJYB_FUMbY0
