,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,channelTitle,subscriberCount,videoURL
0,UCRWFSbif-RFENbBrSiez1DA,iPqnB4s8hAo,ABP LIVE : Sushant Singh Rajput Case Updates | Breaking News | Covid-19 | ABP News Live,2020-08-15T03:43:22Z,7517124,50814,7441,0,0,0,ABP NEWS,25900000,https://www.youtube.com/watch?v=iPqnB4s8hAo
1,UCpWaR3gNAQGsX48cIlQC0qw,7rlwxSPUcQk,ON EST POSITIF AU COVID-19 (coronavirus),2020-08-11T16:00:31Z,3048626,210165,8168,20173,0,793,Tibo InShape,7560000,https://www.youtube.com/watch?v=7rlwxSPUcQk
2,UCCgLMMp4lv7fSD2sBz1Ai6Q,0KjOhx91dR8,OTV Live 24x7 | Latest News Updates | Coronavirus Latest Updates | Unlock3.0 | Odisha TV,2020-08-14T11:19:02Z,1998118,12671,1398,0,0,0,OTV,4240000,https://www.youtube.com/watch?v=0KjOhx91dR8
3,UCSKgOW8Pg_eZymYJyJc432g,UF3QPLL_4ts,Russia COVID-19 Vaccine Update: ruus kii koronaavaayrs vaiksiin ke lie AIIMS Director btaaiiN 2 shrteN,2020-08-12T08:14:09Z,1928055,17995,1724,638,0,127,Dainik Jagran,2400000,https://www.youtube.com/watch?v=UF3QPLL_4ts
4,UCSKgOW8Pg_eZymYJyJc432g,DBJqN_MZ_oU,"COVID-19 News Update: koronaavaayrs kaa India meN Recovery Rate 72% phuNcaa,18 laakh se adhik log hue tthiik",2020-08-16T09:15:00Z,1804840,7480,1613,480,0,113,Dainik Jagran,2400000,https://www.youtube.com/watch?v=DBJqN_MZ_oU
5,UCUmRGR3a-g13O6pG927KQmg,tJ2mpcWabIU,Tin Tuc Tong hop Covid-19 Sang 13/8.Ca nhiem moi o Ha Noi nguon lay tu dau Cap nhat tin tuc  moi,2020-08-12T22:15:11Z,1276722,2187,647,155,0,1213,TIN TỨC 24H ONLINE,1910000,https://www.youtube.com/watch?v=tJ2mpcWabIU
6,UCSKgOW8Pg_eZymYJyJc432g,eAD4zftVA-Y,"Russia Coronavirus Vaccine Update: ruus kii koronaavaayrs vaiksiin pr AIIMS Deirector, MOH kii raay | Putin",2020-08-12T11:35:17Z,1036918,7973,955,406,0,168,Dainik Jagran,2400000,https://www.youtube.com/watch?v=eAD4zftVA-Y
7,UCGyZswzm4G-wEfRQHgMSAuw,_Usr_RblcSo, News7 Tamil LIVE | Tamil News Live | News Live | niyuus7 tmilll | CoronaVirus | Stay Home Stay Safe,2020-08-15T05:10:37Z,1010127,2495,619,0,0,0,News7 Tamil,4050000,https://www.youtube.com/watch?v=_Usr_RblcSo
8,UCpPndhUatYo4NLn3fleQ2Fw,vN2eQ_CKZT8,Wzial rosyjska szczepionke przeciwko Covid-19,2020-08-17T06:27:43Z,1021510,22793,889,678,0,58,HRejterzy,116000,https://www.youtube.com/watch?v=vN2eQ_CKZT8
9,UC_wOU3PYfF5yNQ00nthAkfA,7rKzXZYmUhQ,The new coronavirus strain found in Malaysia is TEN TIMES more infectious - TV9,2020-08-17T12:37:31Z,942297,0,0,1097,0,89,TV9 Today,899000,https://www.youtube.com/watch?v=7rKzXZYmUhQ
