,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCupvZG-5ko_eiXAupbDfxWw,GEARtTBHXEw,See where officials believe the coronavirus started,2020-01-21T02:47:47Z,4605639,44415,3129,26996,0,CNN,10400000
1,UCckz6n8QccTd6K_xdwKqa0A,p6wb37RbYk0,Qu&#39;est-ce qu&#39;un coronavirus ? | AFP Anime,2020-01-16T11:22:49Z,1250494,6330,641,1025,0,AFP,677000
2,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16T14:54:37Z,1240981,1534,255,343,0,World Health Organization (WHO),607000
3,UC262-NFJtcZMJh1CHn2H3wA,Je0_U2ym_r0,"""Wuhan SARS"": Tracing the origin of the new virus to China's wild animal markets",2020-01-20T01:16:30Z,1192639,0,0,0,0,Kristie Lu Stout,0
4,UClFSU9_bUb4Rc6OYfTt5SPw,RBTFPXKcoGQ,"The DISTURBING Onision Problem UPDATES, Clinton Bashes Bernie, Coronavirus, Australia, Iran, &amp; More",2020-01-21T22:15:42Z,1170811,75894,1348,5352,0,Philip DeFranco,6420000
5,UCrC8mOqJQpoB7NuIMKIS6rQ,m6KPW6fe0n8,China meN phailaa Coronavirus Know All About it Current Affairs 2020 #UPSC,2020-01-16T17:38:40Z,625464,27427,480,887,0,Study IQ education,8280000
6,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18T09:09:02Z,581376,4694,583,0,0,The Telegraph,1340000
7,UCe5-b0fCK3eQCpwS6MT0aNw,ULAGsq4BsOs,?Que es el coronavirus? 5 cosas que debes saber,2020-01-21T16:59:22Z,559272,6978,351,1159,0,EL TIEMPO,746000
8,UCknLrEdhRCp1aegoMqRaCZg,vIJdWZCkjlw,How dangerous is the coronavirus? | DW News,2020-01-21T10:54:46Z,521936,3583,158,1907,0,DW News,1640000
9,UCFaPzuoXcACu7jplePDfXmA,qoBoryHuZ6E,Coronavirus en Chine : doit-on se sentir concerne ?,2020-01-21T16:05:23Z,511592,0,0,0,0,IHU Méditerranée-Infection,210000
10,UC_MyK1SmeN2Sji4uBEckYaA,5BmdUybJK6c,Containment (Infected) | 2015 | Coronavirus Movie,2020-01-21T13:00:10Z,381469,2504,357,229,0,Horror Central,209000
11,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15T07:56:14Z,362081,2352,108,901,0,South China Morning Post,1320000
12,UCBi2mrWuNuyYy4gbM6fU18Q,Bf3XS2kLOJQ,New coronavirus from China can spread by human contact l ABC News,2020-01-21T14:59:28Z,352914,2532,226,2219,0,ABC News,9560000
13,UC4SUWizzKc1tptprBkWjX2Q,z_InqqUdhgM,Wuhan virus: second death reported in China as Japan finds first case,2020-01-17T08:07:36Z,317278,1785,116,871,0,South China Morning Post,1320000
14,UC4SUWizzKc1tptprBkWjX2Q,-PWA_4ssTuI,China confirms new coronavirus can be transmitted between humans,2020-01-21T11:59:33Z,309993,2581,96,899,0,South China Morning Post,1320000
15,UC1BRRTxAdlQCy2Tq8YfHX0w,kj05s06zyn4,What is Coronavirus? Symptoms &amp; treatment: Viral infection (USMLE Step 1 Review),2020-01-21T22:00:50Z,206192,1094,617,225,0,SketchyMedical,59300
16,UC4SUWizzKc1tptprBkWjX2Q,-yEOrH5Sd38,China reports third death from Wuhan virus and new cases of the mystery illness in other cities,2020-01-20T10:46:12Z,189790,1057,47,656,0,South China Morning Post,1320000
17,UCknLrEdhRCp1aegoMqRaCZg,ILOexFpPvX8,Deadly coronavirus from Wuhan China has global health officials on alert | DW News,2020-01-18T17:17:39Z,161100,1384,78,569,0,DW News,1640000
18,UC83jt4dlz1Gjl58fzQrrKZg,jUUAjxeFCUk,Wuhan virus outbreak could be like 2009 H1N1 pandemic in &#39;worst-case scenario&#39;: Health expert,2020-01-21T16:11:36Z,149670,879,57,695,0,CNA,1000000
19,UCJEDFSxHHOW1PpBccdSxOTA,HZ5zp9j6X6g,What is Coronavirus that has spread in China,2020-01-21T11:54:54Z,52037,63,5,4,0,IndianExpressOnline,650000
20,UCuFXCFjmvyACLdscDTEveRQ,pCaBSBX6u1c,The Game By Triple H song  2020 1v1on ps3 gta5 coronavirus is out stay in and keep yourself safe PPL,2020-01-18T20:10:51Z,593,34,4,26,0,Roar-xdog-666 -,1470
21,UCPLf6C3ilSeUp3oaWPdlW1Q,MhVO1OqlBC4,The Chinese Coronavirus | Videonium Research,2020-01-21T12:05:13Z,65,1,0,0,0,Videonium's Channel,12700
22,UCZAn3u4YbQDge4ksbs7RdTg,gIIA-2J1wi8,5 NATURAL WAYS TO FIGHT THE CORONAVIRUS FAST!,2020-01-19T13:36:04Z,61,5,0,3,0,BeautyBehindTheScience,392
